Source,Type,Target,Weight
Ingemann,undirected,Jesus,28
Jesus,undirected,Stefanus,326
Jesus,undirected,Lukas,1153
Jens,undirected,Lukas,3
Jens,undirected,Paulus,3
Jesus,undirected,Jesus Krist,26
Adam,undirected,Jesus,390
Adam,undirected,Eva,726
Esajas,undirected,HC Andersen,2
Andersen,undirected,HC Andersen,38
Andersen,undirected,Gud,2
Augustus,undirected,Kejser Augustus,9
Augustus,undirected,Josef,23
Josef,undirected,Maria,1211
Augustus,undirected,Maria,24
Augustus,undirected,Jesus,50
Jesus,undirected,Kejser Augustus,31
August,undirected,Jesus,15
Hyrderne,undirected,Jesus,38
Hyrderne,undirected,Josef,11
Jesus,undirected,Maria,2860
Esajas,undirected,Jesus,609
Esajas,undirected,Melchior,2
Balthasar,undirected,Melchior,15
Artaban,undirected,Balthasar,1
Artaban,undirected,Josef,2
Artaban,undirected,Maria,1
Artaban,undirected,Herren,2
Herren,undirected,Jesus,809
Artaban,undirected,Jesus,5
Martin A . Hansen,undirected,Thomas,2
Adams,undirected,Thomas,2
Adam,undirected,Adams,48
Adam,undirected,Ivan,44
Gunnar,undirected,Ivan,5
Gunnar,undirected,Khalid,7
Ivan,undirected,Khalid,9
Adams,undirected,Ivan,13
Khalid,undirected,Peter den,2
Adam,undirected,Peter den,2
Ivan,undirected,Satan,3
Adam,undirected,Satan,8
Adams,undirected,Khalid,2
Adam,undirected,Storm P,2
Jesus,undirected,Storm P,39
Jan Lindhardt,undirected,Jesus,24
Benny Andersen,undirected,Jan Lindhardt,1
Holger,undirected,Jesus,33
Grundtvig,undirected,Jesus,564
Jesus,undirected,Kirkefaderen Augustin,18
Kirkefaderen Augustin,undirected,Søren Kierkegaard,1
Jesus,undirected,Søren Kierkegaard,176
Anders Stjernholm,undirected,Freud,1
Freud,undirected,Martin Luther,1
Luther,undirected,Martin Luther,115
Luther,undirected,Palle,1
Luther,undirected,Martin Luthers,17
Jesus,undirected,Luther,552
Jesus,undirected,Kain,204
Desmond Tutu,undirected,Martin Luthers,1
Kain,undirected,Martin Luthers,1
Abel,undirected,Kain,590
Abel,undirected,Faderen,2
Jesus,undirected,Johannes,5230
Johannes,undirected,Martin Luther,10
Kristus,undirected,Martin Luther,20
Ham Jesus,undirected,Kristus,21
Ham Jesus,undirected,Luther,10
Johannes,undirected,Luther,24
Jesus,undirected,Siger Jesus,188
Paulus,undirected,Siger Jesus,10
Jesus,undirected,Paulus,2601
Kierkegaard,undirected,Søren Kierkegaard,53
Jesus,undirected,Kierkegaard,122
Jesus,undirected,Johannes Døber,103
Døberen,undirected,Johannes Døber,5
Døberen,undirected,Jesus,42
Jesus,undirected,Johannes Døbers,19
Maria,undirected,Marta,48
Maria,undirected,Martha,933
Martha,undirected,Paulus,3
Jesus,undirected,Martha,833
Jesus,undirected,Peter,4887
Arne Haugen Sørensen,undirected,Søren Kierkegaard,1
Adam,undirected,Arne Haugen Sørensen,1
Eva,undirected,Kain,42
Abel,undirected,Adam,26
Benny Andersens,undirected,Kain,1
Adam,undirected,Benny Andersens,1
Benny Andersen,undirected,Eva,1
Benny Andersen,undirected,Jesus,77
Jesus,undirected,Kong Herodes,105
Josef,undirected,Kong Herodes,15
Arne Haugen Sørensen,undirected,Jesus,34
Albert Einstein,undirected,van Gogh,1
Albert Einstein,undirected,Johannes,3
Erik,undirected,Johannes,2
Erik,undirected,Jesus,39
Johannes,undirected,Paulus,129
Hans Anker Jørgensen,undirected,Johannes,23
Grundtvig,undirected,Martin Luther,6
Grundtvig,undirected,Luther,25
Jesus,undirected,Jesus Kristus,2019
Jacob Knudsen,undirected,Moses,2
Jacob Knudsen,undirected,Lars Lilholt,1
Lars Lilholt,undirected,Peter,1
