Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Jan Kjærstad,,,24,37,4,0.478817,0.498748,54.991639,0.027462,0.027462,1,0.001251,0,0.514493,142,0.135589
Gartneren,,,58,107,4,0.495861,0.529772,414.010954,0.052031,0.052031,4,0.002764,0,0.329704,545,0.256238
fru Hansen,,,29,32,4,0.479584,0.502087,117.671714,0.021559,0.021559,3,0.001579,0,0.26601,108,0.109937
Engel,,,17,20,4,0.466875,0.486227,27.030605,0.01604,0.01604,3,0.001009,0,0.360294,49,0.080972
Johannes Johansen,,,42,68,4,0.489379,0.516416,254.981526,0.043112,0.043112,4,0.002101,0,0.430894,371,0.212214
Mattias/Mathias,,,30,43,4,0.477671,0.501391,41.082451,0.029744,0.029744,4,0.001499,0,0.418391,182,0.147248
Charlotte Rørth,,,33,41,4,0.482287,0.50626,181.844343,0.026367,0.026367,3,0.001762,0,0.285985,151,0.13262
Aslan,,,20,30,4,0.470173,0.490401,173.536399,0.019219,0.019219,3,0.00119,0,0.447368,85,0.096635
Omar,,,15,17,5,0.413389,0.440373,32.168008,0.010729,0.010729,7,0.001007,0,0.180952,19,0.053112
Bodil,,,12,15,4,0.453788,0.473289,20.849158,0.009658,0.009658,3,0.000812,0,0.30303,20,0.049517
Robin Williams,,,17,18,4,0.425426,0.452142,66.030959,0.012188,0.012188,3,0.001067,0,0.257353,35,0.06064
Aksel Sandemose,,,21,30,4,0.469436,0.490401,70.420929,0.016424,0.016424,3,0.001219,0,0.280952,59,0.083953
Tolderne,,,16,18,4,0.464341,0.483584,9.233044,0.016325,0.016325,4,0.000917,0,0.475,57,0.0816
Samaritaneren,,,18,36,4,0.470912,0.489705,1.832706,0.027241,0.027241,5,0.000958,0,0.797386,122,0.13383
Willy,,,6,8,5,0.361497,0.379021,5.448039,0.002387,0.002387,3,0.000541,0,0.066667,1,0.012567
Andreas Mogensen,,,17,20,4,0.453788,0.476071,114.292266,0.01183,0.01183,3,0.001091,0,0.242647,33,0.060125
Maude,,,9,13,4,0.457601,0.474402,12.585586,0.009852,0.009852,1,0.00067,0,0.388889,14,0.050284
Hyrden,,,29,56,4,0.481511,0.503617,25.14861,0.036171,0.036171,1,0.001419,0,0.583744,237,0.178143
Amos,,,21,24,4,0.473518,0.493322,44.313635,0.018514,0.018514,3,0.001169,0,0.328571,69,0.093883
Kejseren,,,28,42,4,0.473144,0.496939,105.536662,0.02221,0.02221,3,0.001537,0,0.28836,109,0.111419
Ole Jensen,,,5,6,5,0.387451,0.407958,10.605661,0.003651,0.003651,3,0.00055,0,0.2,2,0.018435
Frankl,,,5,6,4,0.43343,0.452282,0.589899,0.005082,0.005082,4,0.000461,0,0.4,4,0.025949
Simon af Kyrene,,,46,70,4,0.492599,0.520729,406.735626,0.036559,0.036559,3,0.00238,0,0.276329,286,0.182802
Morten Bisp,,,4,4,4,0.443047,0.460072,0.934689,0.005639,0.005639,3,0.00043,0,0.666667,4,0.029131
Alex,,,10,14,4,0.443047,0.463133,16.158739,0.008286,0.008286,3,0.000706,0,0.2,9,0.041992
Kay/Kaj,,,35,63,4,0.483065,0.508069,110.905391,0.035537,0.035537,4,0.001719,0,0.430252,256,0.175739
Tomas Sjødin,,,18,21,4,0.463981,0.484558,109.599036,0.016762,0.016762,3,0.001076,0,0.366013,56,0.083459
Bent Falk,,,32,38,4,0.483454,0.506678,554.581887,0.027968,0.027968,3,0.001813,0,0.28629,142,0.140881
Anders And,,,23,35,4,0.47277,0.49374,109.905335,0.022282,0.022282,3,0.00132,0,0.399209,101,0.111575
Klaus/Claus,,,63,97,4,0.503361,0.537423,302.124965,0.058296,0.058296,4,0.002934,0,0.35023,684,0.28811
Jørgensen,,,41,50,4,0.486992,0.51419,200.482739,0.033534,0.033534,3,0.002049,0,0.269512,221,0.168545
Jensen,,,54,67,4,0.496272,0.527824,552.024211,0.038379,0.038379,3,0.002795,0,0.222921,319,0.193931
Sankt Peter,,,45,75,4,0.493817,0.521007,56.978685,0.05073,0.05073,4,0.002071,0,0.535354,530,0.248745
Robert,,,25,32,4,0.471282,0.494157,82.793233,0.025927,0.025927,4,0.001342,0,0.413333,124,0.127891
Levi/Levi Tolderen,,,64,152,4,0.504634,0.538815,210.619211,0.068835,0.068835,4,0.00287,0,0.487103,982,0.336246
H.A. Brorson,,,79,200,4,0.518166,0.555787,524.677288,0.084428,0.084428,1,0.003491,0,0.479714,1478,0.411499
Astrid Lindgren,,,37,71,4,0.486992,0.511964,497.65154,0.040337,0.040337,4,0.001932,0,0.465465,310,0.199027
Lasse,,,17,18,4,0.462906,0.483027,45.04801,0.013372,0.013372,4,0.001042,0,0.264706,36,0.067729
Løgstrup,,,47,59,4,0.497095,0.524485,546.102911,0.038591,0.038591,3,0.002439,0,0.277521,300,0.193531
Lisbeth Smedegaard Andersen,,,29,39,4,0.481899,0.503895,195.925327,0.025672,0.025672,3,0.001596,0,0.317734,129,0.129172
Pave Frans,,,22,29,4,0.460061,0.483723,51.948231,0.017098,0.017098,3,0.001251,0,0.281385,65,0.086443
Salmisten,,,27,50,4,0.478053,0.499861,15.283781,0.035277,0.035277,1,0.001329,0,0.669516,235,0.173058
Mikkel,,,25,28,4,0.452417,0.479271,242.558356,0.015394,0.015394,3,0.001484,0,0.153333,46,0.07819
Frank Jæger,,,17,22,4,0.462906,0.483166,27.339811,0.016367,0.016367,3,0.000983,0,0.426471,58,0.082067
Mary,,,13,14,4,0.421534,0.44616,17.333576,0.008611,0.008611,3,0.000847,0,0.230769,18,0.043528
Pippi Langstrømpe,,,24,36,4,0.468335,0.491235,74.815277,0.022715,0.022715,4,0.001323,0,0.365942,101,0.112735
Kvirinius,,,19,29,4,0.439472,0.465081,116.744782,0.012886,0.012886,1,0.0012,0,0.263158,45,0.064747
Harry Potter,,,40,44,4,0.48898,0.515025,300.956467,0.029505,0.029505,3,0.002177,0,0.226923,177,0.14936
Cæsar,,,19,22,4,0.460769,0.48261,278.231948,0.015778,0.015778,3,0.001225,0,0.263158,45,0.079322
Robin Hood,,,14,22,4,0.462191,0.480801,25.807522,0.014152,0.014152,3,0.000892,0,0.395604,36,0.071375
Sebastian,,,18,19,4,0.467239,0.486923,35.278127,0.016661,0.016661,3,0.001064,0,0.346405,53,0.084357
Ben Hur,,,14,15,4,0.454132,0.47468,30.528136,0.011234,0.011234,3,0.000896,0,0.263736,24,0.057199
Donald Trump,,,39,52,4,0.486992,0.513077,289.280078,0.032604,0.032604,3,0.00202,0,0.28475,211,0.163187
Anders,,,58,76,4,0.502096,0.533806,665.634569,0.038273,0.038273,3,0.002933,0,0.196007,324,0.193809
Svend Brinkmann,,,56,73,4,0.498751,0.530467,788.594767,0.040288,0.040288,3,0.002972,0,0.231818,357,0.203015
missionæren,,,7,7,5,0.378157,0.399193,3.489838,0.004436,0.004436,3,0.000555,0,0.190476,4,0.02212
Englen,,,54,75,4,0.497508,0.528659,1015.984797,0.043557,0.043557,3,0.0029,0,0.280224,401,0.217718
Lotte Tarp,,,11,12,5,0.402283,0.427017,45.189362,0.006181,0.006181,3,0.000808,0,0.127273,7,0.031351
Marianne Jelved,,,5,5,4,0.363692,0.379939,11.701412,0.001902,0.001902,3,0.000548,0,0.1,1,0.010082
Cecilie,,,14,15,4,0.432803,0.456594,25.787035,0.009694,0.009694,3,0.000886,0,0.230769,21,0.049338
kongers,,,19,23,4,0.442066,0.467724,72.281979,0.015348,0.015348,1,0.001099,0,0.25731,44,0.076362
Rakel,,,25,49,4,0.453788,0.480523,84.357224,0.017582,0.017582,3,0.001389,0,0.24,72,0.088139
Julemanden,,,22,26,4,0.465062,0.487618,106.754707,0.01462,0.01462,3,0.001268,0,0.212121,49,0.074763
Dronning Margrethe,,,27,38,4,0.472397,0.495826,95.990244,0.022303,0.022303,3,0.00146,0,0.293447,103,0.112071
Rasmus Seebach,,,20,28,4,0.467239,0.488036,82.525027,0.013728,0.013728,3,0.001218,0,0.257895,49,0.070937
Zakæus,,,52,82,4,0.497508,0.527546,411.866179,0.043266,0.043266,3,0.002585,0,0.291855,387,0.216128
Gerda,,,19,31,4,0.435636,0.461742,113.436418,0.010481,0.010481,4,0.001204,0,0.157895,27,0.053622
Lisa,,,10,10,5,0.402554,0.425904,6.986832,0.005895,0.005895,3,0.000693,0,0.177778,8,0.030095
stig,,,24,26,4,0.449025,0.475932,40.418285,0.021163,0.021163,3,0.001271,0,0.34058,94,0.104363
Enken,,,42,61,4,0.483065,0.511964,362.974853,0.0327,0.0327,3,0.002199,0,0.250871,216,0.163089
Nielsen,,,45,50,3,0.493004,0.520312,659.871741,0.029941,0.029941,3,0.002413,0,0.19798,196,0.152571
Margrethe,,,46,57,4,0.492194,0.520451,421.204925,0.033014,0.033014,3,0.002416,0,0.22029,228,0.167524
Felix,,,8,9,4,0.421831,0.443378,14.949,0.008597,0.008597,2,0.000672,0,0.321429,9,0.042611
Alexander,,,27,32,4,0.475774,0.498331,137.377164,0.021513,0.021513,3,0.001507,0,0.2849,100,0.108813
Dronningen,,,35,44,4,0.485807,0.510017,144.016594,0.032436,0.032436,3,0.001788,0,0.351261,209,0.161941
Winston Churchill,,,15,20,4,0.457601,0.477741,27.571055,0.014307,0.014307,4,0.00092,0,0.361905,38,0.071426
Jeppe Aakjær,,,14,19,4,0.450715,0.471898,49.220616,0.008995,0.008995,3,0.000925,0,0.164835,15,0.046195
Agnes,,,18,19,4,0.453444,0.476349,72.439896,0.009814,0.009814,3,0.001144,0,0.189542,29,0.051065
Karl Barth,,,32,47,4,0.484236,0.507095,43.57409,0.034936,0.034936,3,0.001574,0,0.493952,245,0.173046
Pastor Storm,,,26,33,4,0.450376,0.478436,710.148686,0.017567,0.017567,3,0.001685,0,0.178462,58,0.088216
Dæmoner,,,12,14,4,0.460061,0.478019,32.198868,0.012518,0.012518,3,0.000803,0,0.378788,25,0.063296
Gandhi,,,23,33,4,0.460061,0.484418,191.275105,0.016282,0.016282,3,0.001363,0,0.213439,54,0.081953
Ida,,,30,41,4,0.471282,0.4968,378.518044,0.016269,0.016269,3,0.001756,0,0.144828,63,0.083815
Amalie,,,7,7,5,0.380801,0.401558,14.229668,0.002624,0.002624,3,0.00062,0,0.190476,4,0.014018
Alfred,,,12,19,4,0.397478,0.422231,35.028586,0.005751,0.005751,3,0.000845,0,0.121212,8,0.029461
Stalin,,,25,39,4,0.418004,0.449499,180.175922,0.010505,0.010505,7,0.001525,0,0.093333,28,0.054047
Saddam,,,9,12,4,0.446016,0.465081,8.164344,0.009311,0.009311,7,0.000642,0,0.444444,16,0.046735
Rasmus Klump,,,8,9,4,0.403367,0.425849,5.749527,0.00582,0.00582,3,0.000612,0,0.285714,8,0.029372
Johannes Sløk,,,13,14,4,0.458301,0.477323,61.654887,0.010911,0.010911,3,0.000879,0,0.358974,28,0.055821
Lis,,,4,4,4,0.348458,0.361575,1.593308,0.0016,0.0016,3,0.00044,0,0,0,0.008386
Viktor/Victor,,,34,51,4,0.483845,0.50793,90.35299,0.032317,0.032317,4,0.001717,0,0.360071,202,0.160676
Johanne,,,23,25,4,0.462191,0.485949,225.379248,0.019558,0.019558,3,0.001397,0,0.316206,80,0.098025
Bjarne Lenau Henriksen,,,8,12,4,0.445353,0.464246,10.676846,0.00754,0.00754,3,0.000625,0,0.25,7,0.038326
Niels Hausgaard,,,27,36,4,0.47277,0.496383,44.581744,0.029685,0.029685,3,0.001399,0,0.458689,161,0.1462
Andy,,,3,3,5,0.360409,0.37596,0.20255,0.002374,0.002374,3,0.000375,0,0,0,0.011691
Natanael,,,11,14,4,0.411967,0.436422,45.654778,0.007257,0.007257,3,0.000794,0,0.254545,14,0.036752
Ve,,,12,14,4,0.456555,0.475237,25.773297,0.011193,0.011193,3,0.000803,0,0.287879,19,0.056993
Isis,,,36,44,4,0.487388,0.511686,297.430301,0.03458,0.03458,3,0.001876,0,0.374603,236,0.172231
George Duckwitz,,,19,22,4,0.464701,0.485531,17.624559,0.022296,0.022296,4,0.00102,0,0.549708,94,0.109458
Noa,,,75,187,4,0.511966,0.549805,601.931934,0.077863,0.077863,1,0.003397,0,0.451171,1252,0.379644
Karl/Carl,,,54,78,4,0.5,0.530328,226.969751,0.048801,0.048801,4,0.002526,0,0.333333,477,0.241385
Immanuel,,,65,145,4,0.50634,0.540623,331.324826,0.071394,0.071394,1,0.002938,0,0.489423,1018,0.348777
Kant,,,10,13,4,0.455513,0.473289,4.501666,0.009867,0.009867,3,0.000689,0,0.511111,23,0.05016
Jeppe,,,19,20,4,0.461479,0.483027,48.294104,0.015856,0.015856,3,0.001102,0,0.274854,47,0.079968
Salome,,,15,32,5,0.446682,0.469588,109.195917,0.015661,0.015661,3,0.000941,0,0.485714,51,0.077843
Kristian Ditlev Jensen,,,4,4,4,0.364799,0.381886,1.498721,0.003078,0.003078,3,0.000432,0,0.166667,1,0.015091
Laurentius,,,10,10,4,0.439472,0.460211,112.298095,0.006337,0.006337,3,0.000801,0,0.133333,6,0.032691
Jonas Wergeland,,,6,8,5,0.386701,0.407958,1.921573,0.004039,0.004039,3,0.000514,0,0.333333,5,0.020468
Josva,,,23,28,4,0.470912,0.492487,169.287315,0.017949,0.017949,3,0.00139,0,0.280632,71,0.091431
Fru Zebedæus,,,12,23,5,0.415107,0.440234,21.953396,0.008536,0.008536,8,0.000822,0,0.212121,14,0.042521
Egon,,,15,19,4,0.452075,0.473428,41.5459,0.009706,0.009706,3,0.000959,0,0.190476,20,0.050014
Ejnar Mikkelsen,,,15,17,4,0.461835,0.481358,135.010845,0.013337,0.013337,3,0.001027,0,0.371429,39,0.068189
Platon,,,15,20,4,0.467969,0.48581,41.678753,0.014349,0.014349,3,0.000939,0,0.352381,37,0.072881
Jane,,,8,10,4,0.454476,0.47148,3.293475,0.00993,0.00993,3,0.000594,0,0.535714,15,0.050179
Efraim,,,12,13,4,0.448018,0.468559,45.719876,0.008348,0.008348,3,0.000817,0,0.242424,16,0.042708
Eigil,,,8,8,5,0.375549,0.396689,19.071725,0.003283,0.003283,3,0.000644,0,0.035714,1,0.017252
Zebedæus,,,9,18,4,0.418004,0.440595,12.393383,0.007019,0.007019,8,0.000674,0,0.305556,11,0.035359
Ernst,,,13,13,4,0.427552,0.451308,32.414272,0.008817,0.008817,3,0.000873,0,0.192308,15,0.044904
Odin,,,26,46,4,0.479584,0.500556,148.561825,0.02438,0.02438,3,0.001474,0,0.344615,112,0.122648
Oskar,,,9,9,4,0.430625,0.452003,1.562013,0.011017,0.011017,3,0.000617,0,0.611111,22,0.054356
Helena,,,10,11,5,0.391503,0.415331,14.286075,0.005776,0.005776,3,0.00071,0,0.133333,6,0.029043
KRISTINA,,,7,9,5,0.406102,0.428687,6.423004,0.005468,0.005468,3,0.000576,0,0.285714,6,0.027474
Bastian,,,11,11,4,0.415684,0.439482,17.143677,0.007013,0.007013,3,0.000763,0,0.236364,13,0.035747
Muhammed/Mohammed,,,64,113,4,0.505485,0.539371,183.744106,0.067437,0.067437,4,0.002863,0,0.447917,903,0.330249
Signe,,,31,32,4,0.471654,0.497635,251.503883,0.017901,0.017901,3,0.001765,0,0.193548,90,0.092263
Gus,,,12,14,4,0.458652,0.477184,11.710175,0.014004,0.014004,3,0.000778,0,0.545455,36,0.070025
Romerne,,,25,34,4,0.480353,0.500556,33.86648,0.029225,0.029225,3,0.001311,0,0.533333,160,0.14611
Todd,,,4,4,4,0.365467,0.381608,5.462655,0.001897,0.001897,3,0.00045,0,0.166667,1,0.009991
Laban,,,23,35,4,0.437546,0.465498,764.619061,0.007606,0.007606,3,0.001664,0,0.094862,24,0.04119
Cecilia,,,9,11,5,0.410274,0.433556,6.780759,0.008457,0.008457,4,0.000651,0,0.305556,11,0.041666
Walt,,,10,15,4,0.41396,0.437117,1105.357243,0.005396,0.005396,3,0.001122,0,0.2,9,0.027946
Sue,,,1,3,5,0.29291,0.301252,0,0.000073,0.000073,3,0.000346,0,0,0,0.000525
Ronja,,,10,16,4,0.454476,0.472454,5.570244,0.009494,0.009494,3,0.000686,0,0.422222,19,0.048085
Mathilde,,,11,12,4,0.427247,0.449917,9.092441,0.007373,0.007373,3,0.000743,0,0.254545,14,0.037566
Saul,,,40,48,4,0.47502,0.505147,355.639978,0.024329,0.024329,3,0.002153,0,0.182051,142,0.123638
John Lennon,,,19,20,4,0.465062,0.486088,42.092727,0.016507,0.016507,3,0.001105,0,0.304094,52,0.083151
Lone,,,25,30,4,0.467969,0.491792,69.64156,0.022231,0.022231,3,0.001378,0,0.34,102,0.111271
Sofie,,,27,30,4,0.476911,0.499165,162.178829,0.021479,0.021479,3,0.001509,0,0.273504,96,0.108944
Jan,,,21,26,4,0.469068,0.489983,88.836653,0.018115,0.018115,4,0.001197,0,0.314286,66,0.091388
Erik Hagens,,,17,23,4,0.460769,0.481636,13.110662,0.020606,0.020606,2,0.000948,0,0.551471,75,0.101064
Bente,,,9,11,4,0.452075,0.470228,2.004319,0.010778,0.010778,3,0.000626,0,0.583333,21,0.053975
Tim,,,38,47,4,0.492194,0.515999,315.340006,0.034256,0.034256,3,0.001994,0,0.342817,241,0.170506
Lloyd,,,3,4,5,0.380076,0.398637,1.150214,0.00256,0.00256,3,0.000405,0,0,0,0.012878
Emma,,,25,32,4,0.474268,0.496383,187.415889,0.021475,0.021475,3,0.001435,0,0.303333,91,0.108185
Anker Jørgensen,,,22,24,4,0.466511,0.48887,54.653257,0.019888,0.019888,3,0.001209,0,0.311688,72,0.099275
Ane Marie,,,20,23,4,0.439794,0.466472,47.859509,0.014434,0.014434,3,0.001154,0,0.247368,47,0.072448
Lucia,,,38,64,4,0.481899,0.508904,164.129898,0.037465,0.037465,4,0.001863,0,0.42532,299,0.183857
Clara,,,9,11,5,0.415107,0.438147,3.907097,0.00852,0.00852,3,0.000633,0,0.277778,10,0.042244
Titus,,,12,14,4,0.461835,0.47941,27.886254,0.010297,0.010297,3,0.00084,0,0.318182,21,0.053024
Elof Westergaard,,,12,14,4,0.449025,0.469533,290.529545,0.0088,0.008801,3,0.000972,0,0.287879,19,0.045203
Lisbeth,,,20,23,4,0.43343,0.460629,114.026142,0.013302,0.013302,3,0.001241,0,0.168421,32,0.066724
Lisbeth Zornig Andersen,,,8,10,4,0.382503,0.404424,7.422495,0.004172,0.004172,3,0.000618,0,0.25,7,0.02127
Mika,,,47,60,4,0.493817,0.52212,625.852458,0.034604,0.034604,3,0.002548,0,0.234968,254,0.174612
Jens Rosendal,,,29,38,4,0.486201,0.506956,140.844669,0.026632,0.026632,3,0.001583,0,0.310345,126,0.134552
Prædikeren,,,13,15,4,0.459004,0.47788,13.203682,0.015787,0.015787,4,0.00081,0,0.512821,40,0.078991
Amanda,,,12,12,4,0.418296,0.442265,31.285656,0.007544,0.007544,3,0.000843,0,0.212121,14,0.038494
Ludvig,,,23,27,4,0.466148,0.488731,174.650687,0.015252,0.015252,3,0.001383,0,0.181818,46,0.077814
Sokrates,,,18,22,5,0.410274,0.438982,58.992607,0.011652,0.011652,3,0.001077,0,0.20915,32,0.057668
Harald,,,17,21,4,0.461835,0.48261,209.926818,0.010081,0.010081,3,0.001205,0,0.183824,25,0.052948
Arthur,,,9,10,4,0.446016,0.46522,12.382631,0.008889,0.008889,4,0.000654,0,0.305556,11,0.044625
Bo,,,23,25,4,0.476911,0.496939,119.583369,0.020039,0.020039,3,0.001315,0,0.304348,77,0.101527
Karen,,,19,21,4,0.454476,0.477462,70.00012,0.010776,0.010776,3,0.001156,0,0.152047,26,0.055606
Konen,,,13,15,4,0.458652,0.47788,6.19453,0.014948,0.014948,3,0.000787,0,0.538462,42,0.074493
helle,,,75,87,3,0.515935,0.552031,1625.485343,0.05231,0.05231,3,0.0039,0,0.201441,559,0.263138
Marius Fiil,,,11,20,4,0.461124,0.478297,63.897927,0.010576,0.010576,3,0.000803,0,0.381818,21,0.054356
Marius,,,15,19,4,0.457951,0.47788,71.735488,0.009319,0.009319,3,0.001007,0,0.219048,23,0.048622
Daniel,,,49,80,4,0.497508,0.525737,56.28825,0.057692,0.057692,1,0.002204,0,0.561224,660,0.281957
Ingeborg,,,8,8,4,0.440765,0.460211,19.605088,0.007602,0.007602,4,0.000632,0,0.357143,10,0.038137
Joel,,,18,22,4,0.470912,0.489566,420.510343,0.014074,0.014074,3,0.001248,0,0.313725,48,0.072244
Mirjam,,,2,3,5,0.327501,0.335337,0.422222,0.000403,0.000403,3,0.000363,0,0,0,0.002308
Steen,,,22,25,3,0.468701,0.489983,194.106569,0.01546,0.01546,3,0.001378,0,0.207792,48,0.078789
Magnus Malm,,,13,15,4,0.431867,0.455342,36.659304,0.009968,0.009968,3,0.00085,0,0.25641,20,0.050226
Henri Nouwen,,,12,17,4,0.432491,0.455342,97.440026,0.009092,0.009092,3,0.000869,0,0.227273,15,0.046023
Knud,,,29,36,4,0.443704,0.474541,149.836252,0.014958,0.014958,3,0.00164,0,0.12069,49,0.076454
Albert Schweitzer,,,10,10,4,0.453444,0.471898,48.500085,0.010774,0.010774,3,0.000724,0,0.444444,20,0.054171
Tove,,,9,13,4,0.460061,0.47621,607.848563,0.011711,0.011711,3,0.000915,0,0.5,18,0.059292
Alfredo,,,1,1,5,0.315263,0.321007,0,0.000158,0.000158,3,0.000336,0,0,0,0.000907
Natan/Nathan,,,19,47,4,0.461479,0.483306,27.813975,0.017253,0.017253,1,0.001071,0,0.356725,61,0.086263
Teresa,,,25,28,4,0.473518,0.495548,118.737569,0.023152,0.023152,3,0.001367,0,0.363333,109,0.116063
Kam,,,6,8,4,0.369981,0.388843,7.712182,0.003654,0.003654,3,0.000574,0,0.266667,4,0.01809
Sigurd Barrett,,,6,11,4,0.436589,0.455481,22.115866,0.004985,0.004985,4,0.000584,0,0.266667,4,0.025651
popper,,,23,26,4,0.470912,0.492487,71.886159,0.023636,0.023636,3,0.001319,0,0.367589,93,0.117836
Nornegæst,,,4,6,4,0.43532,0.453255,22.592852,0.005695,0.005695,3,0.000479,0,0.5,3,0.02864
Hvide Krist,,,4,7,5,0.37768,0.396689,2.498406,0.002485,0.002485,3,0.000499,0,0.166667,1,0.012657
Trille,,,9,10,4,0.414533,0.437257,4.874304,0.006087,0.006087,3,0.000658,0,0.25,9,0.03112
Tolkien,,,10,12,4,0.418881,0.441848,21.632263,0.007529,0.007529,3,0.000751,0,0.288889,13,0.03789
Harry,,,15,16,4,0.430625,0.45576,86.842634,0.009266,0.009266,3,0.001034,0,0.228571,24,0.047397
Justin Bieber,,,12,13,4,0.446016,0.466611,717.085686,0.00706,0.00706,3,0.001155,0,0.181818,12,0.036596
Alicia,,,3,5,4,0.323959,0.333194,599.606072,0.000197,0.000197,3,0.000804,0,0,0,0.001539
Susan,,,10,16,4,0.443704,0.463829,68.603561,0.005237,0.005237,3,0.000774,0,0.288889,13,0.028022
Edmund,,,6,15,5,0.345643,0.359878,100.912646,0.00141,0.00141,3,0.000712,0,0.133333,2,0.007605
Lucy,,,2,7,5,0.296829,0.306539,2.764062,0.000092,0.000092,3,0.000447,0,0,0,0.000783
Tove Ditlevsen,,,12,12,5,0.402554,0.427991,20.876244,0.008047,0.008047,3,0.000796,0,0.151515,10,0.040072
Anton,,,21,24,4,0.464701,0.486784,439.349716,0.013633,0.013633,3,0.001356,0,0.219048,46,0.070188
Tommy,,,7,10,5,0.405277,0.427435,7.123559,0.004126,0.004126,3,0.000581,0,0.190476,4,0.02147
Samaritanerne,,,13,15,4,0.451394,0.471898,23.525661,0.011084,0.011084,3,0.000839,0,0.346154,27,0.056035
Nikolas,,,1,1,5,0.324485,0.331636,0,0.000323,0.000323,3,0.000301,0,0,0,0.001748
Julie,,,37,41,4,0.461835,0.4936,469.878651,0.017065,0.017065,3,0.002143,0,0.106607,71,0.088479
Inger,,,18,20,4,0.467969,0.487479,122.41797,0.014671,0.014671,3,0.001131,0,0.254902,39,0.074547
Marcus,,,12,12,4,0.461124,0.478854,108.447974,0.010997,0.010997,3,0.000856,0,0.318182,21,0.056109
Bartimæus,,,8,9,4,0.446682,0.46522,4.750561,0.010395,0.010395,1,0.000608,0,0.642857,18,0.051337
Joakim,,,40,50,4,0.485413,0.512521,190.009701,0.029228,0.029228,3,0.002053,0,0.260256,203,0.148334
Nuser,,,17,26,4,0.444692,0.46842,109.978468,0.014359,0.014359,3,0.001074,0,0.257353,35,0.071707
Allah,,,38,48,4,0.492194,0.515999,633.818974,0.035398,0.035398,3,0.002056,0,0.357041,251,0.176745
Joshua Bell,,,14,17,4,0.440441,0.463411,7.963889,0.014502,0.014502,3,0.000841,0,0.472527,43,0.071873
Gitte,,,8,9,4,0.455167,0.472176,2.436466,0.010663,0.010663,3,0.000599,0,0.607143,17,0.053691
Rembrandt,,,21,23,4,0.447683,0.473428,44.117936,0.016717,0.016717,3,0.001188,0,0.280952,59,0.083666
Per Ramsdal,,,20,25,4,0.465062,0.486644,228.480371,0.013614,0.013614,3,0.001316,0,0.2,38,0.069288
James Bond,,,31,37,4,0.486992,0.508486,812.520046,0.02272,0.02272,3,0.001911,0,0.232258,108,0.1157
Malthe,,,17,18,4,0.402013,0.429605,148.607177,0.006837,0.006837,3,0.001183,0,0.088235,12,0.03531
Joe,,,9,12,4,0.445022,0.464524,29.030165,0.006412,0.006412,4,0.000733,0,0.25,9,0.033216
Godsforvalteren,,,10,12,4,0.457252,0.47468,5.934591,0.010868,0.010868,3,0.000699,0,0.533333,24,0.055388
Eli,,,15,15,4,0.455513,0.476071,207.584249,0.008676,0.008676,3,0.001111,0,0.12381,13,0.045175
Niels Bohr,,,12,15,4,0.424522,0.448108,14.498097,0.010969,0.010969,2,0.000782,0,0.30303,20,0.054289
Peder,,,19,23,4,0.437865,0.464246,100.492663,0.01141,0.01141,3,0.001183,0,0.152047,26,0.05834
Lars Busk Sørensen,,,18,21,4,0.470173,0.489149,10.716331,0.020381,0.020381,3,0.001008,0,0.51634,79,0.101719
Grib,,,13,13,4,0.430625,0.45409,57.204897,0.010385,0.010385,3,0.000871,0,0.358974,28,0.052089
Morten,,,43,49,4,0.490581,0.517807,447.368078,0.031447,0.031447,3,0.002372,0,0.219269,198,0.159438
Nis Petersen,,,18,19,4,0.458301,0.480384,100.884595,0.01289,0.01289,3,0.00112,0,0.254902,39,0.06557
Peter Brandes,,,16,18,4,0.461479,0.481497,281.419922,0.010504,0.010504,3,0.001122,0,0.233333,28,0.054415
Peter Lund Madsen,,,15,17,4,0.460061,0.479827,31.720978,0.010123,0.010123,3,0.001011,0,0.266667,28,0.052494
Henriette,,,5,5,4,0.372976,0.392181,3.203128,0.003083,0.003083,3,0.000486,0,0.1,1,0.015552
George,,,22,28,4,0.428469,0.457429,234.236218,0.010536,0.010536,3,0.001427,0,0.099567,23,0.053923
Abbé Pierre,,,7,11,4,0.440118,0.459098,7.825829,0.005494,0.005494,3,0.000593,0,0.380952,8,0.028327
Mette,,,21,25,4,0.463981,0.486366,101.980763,0.013292,0.013292,3,0.001278,0,0.204762,43,0.068738
Ruth,,,12,13,5,0.398271,0.4234,107.077941,0.005819,0.005819,3,0.000918,0,0.090909,6,0.029762
Sønnerne,,,10,11,4,0.443704,0.463829,186.439614,0.008626,0.008626,3,0.00081,0,0.288889,13,0.043468
Boaz,,,3,3,5,0.325898,0.33453,1.165536,0.000448,0.000448,3,0.000441,0,0.333333,1,0.00262
Bubber,,,4,6,4,0.37205,0.389677,5.252711,0.003002,0.003002,3,0.000487,0,0.166667,1,0.014975
Ida Jessen,,,17,20,4,0.459004,0.480384,11.088563,0.018443,0.018443,4,0.000953,0,0.463235,63,0.091419
Gustav,,,10,11,4,0.448353,0.467724,16.712107,0.009071,0.009071,3,0.000743,0,0.266667,12,0.046049
