Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Gunnar,,,19,26,4,0.468335,0.488175,194.317522,0.019058,0.019058,4,0.001157,0,0.385965,66,0.094979
Khalid,,,2,5,5,0.339955,0.350362,0.188889,0.000997,0.000997,4,0.000343,0,0,0,0.005035
Peter den,,,63,101,4,0.505485,0.538815,780.65514,0.055003,0.055003,3,0.003086,0,0.306196,598,0.271933
Benny Andersen,,,73,138,3,0.511092,0.547858,462.686632,0.066562,0.066562,4,0.003353,0,0.343607,903,0.328113
Jan Lindhardt,,,38,54,4,0.488183,0.513216,86.84967,0.041076,0.041076,4,0.001839,0,0.446657,314,0.203212
N.F.S. Grundtvig,,,206,1081,4,0.592483,0.666806,5506.629742,0.14863,0.148629,1,0.009568,0,0.205494,4339,0.735544
Søren Kierkegaard,,,158,541,4,0.559813,0.623678,2678.520567,0.123721,0.123721,1,0.007131,0,0.247521,3070,0.609682
Augustin,,,72,125,4,0.508058,0.545632,497.973671,0.066474,0.066474,1,0.003391,0,0.356416,911,0.32678
Holger,,,30,43,3,0.484236,0.505843,61.885986,0.032669,0.032669,3,0.001527,0,0.473563,206,0.16186
Anders Stjernholm,,,7,7,5,0.400937,0.423122,40.390669,0.006383,0.006383,7,0.000604,0,0.428571,9,0.031337
Martin Luther,,,214,1228,4,0.599,0.674318,6293.308131,0.147349,0.147349,1,0.009974,0,0.184459,4204,0.73138
Freud,,,14,15,4,0.455167,0.475237,30.958239,0.014439,0.014439,7,0.000886,0,0.417582,38,0.072232
Palle,,,19,23,4,0.472025,0.491096,23.143786,0.022025,0.022025,3,0.001077,0,0.467836,80,0.109941
Kain,,,110,303,4,0.5315,0.581107,1496.108279,0.081546,0.081546,2,0.005083,0,0.228023,1367,0.405801
Abel,,,68,355,4,0.504634,0.54118,96.883115,0.075588,0.075588,2,0.00293,0,0.545215,1242,0.36611
Faderen/Fader,,,109,568,4,0.534821,0.582499,1344.412206,0.10261,0.10261,1,0.004959,0,0.367312,2162,0.501743
Desmond Tutu,,,65,115,4,0.508058,0.541597,608.778575,0.06147,0.06147,7,0.003036,0,0.362981,755,0.303919
Johannes,,,149,3823,4,0.556691,0.617001,2019.45223,0.120134,0.120134,0,0.006668,0,0.261019,2878,0.591119
Kristus,,,204,2892,4,0.59073,0.664858,4408.255909,0.14445,0.14445,0,0.009247,0,0.194774,4033,0.714983
Johannes Døberen,,,113,1047,4,0.535299,0.585003,701.06786,0.106953,0.106953,5,0.004915,0,0.369469,2338,0.523012
Martha,,,79,422,4,0.511966,0.551892,557.936904,0.07567,0.07567,5,0.0036,0,0.378124,1165,0.371071
Peter/Simon Peter,,,131,2509,4,0.544545,0.600306,2629.781649,0.108513,0.108513,0,0.00615,0,0.277041,2359,0.533491
Herodes,,,120,721,4,0.540126,0.591681,1093.652657,0.108436,0.108436,1,0.005276,0,0.339776,2426,0.530484
Arne Haugen Sørensen,,,60,93,4,0.503361,0.535754,249.970591,0.061782,0.061782,4,0.002723,0,0.433333,767,0.302826
Vincent van Gogh,,,44,64,4,0.492194,0.519338,218.889017,0.041673,0.041673,4,0.002191,0,0.368922,349,0.20601
Albert Einstein,,,35,54,4,0.4792,0.505287,687.712941,0.035644,0.035644,1,0.001908,0,0.42521,253,0.175378
Erik,,,65,89,4,0.505485,0.540067,530.091,0.056022,0.056022,4,0.003117,0,0.295673,615,0.277971
Hans Anker Jørgensen,,,226,836,4,0.605662,0.684057,6993.645418,0.151714,0.151714,3,0.010472,0,0.175261,4456,0.754932
Jakob Knudsen,,,42,58,4,0.49179,0.518086,114.155506,0.044495,0.044495,4,0.002039,0,0.447154,385,0.219836
Lars Lilholt,,,18,31,4,0.465785,0.485949,11.812044,0.020363,0.020363,4,0.000998,0,0.503268,77,0.100925
Moses,,,273,1176,4,0.638593,0.724402,11194.132307,0.167647,0.167647,3,0.013005,0,0.144743,5374,0.838254
Rasmus,,,35,42,4,0.485807,0.509878,109.542817,0.034994,0.034994,3,0.001745,0,0.415126,247,0.174107
Abraham,,,87,1012,4,0.519064,0.560935,1242.429569,0.084961,0.084961,5,0.004081,0,0.395616,1480,0.4153
Sara,,,63,184,4,0.505059,0.538536,669.473531,0.070123,0.070123,1,0.002912,0,0.529442,1034,0.341595
